Id. de problema,Descripción,Estado,Gravedad,Puntos de la historia,Ruta de acceso del proyecto,Tipo de ubicación,Ruta de acceso,Línea,Columna,Id. de incidente,Vínculo de ayuda,Nombre del ensamblado,Versión de ensamblado,Clave pública de ensamblado,Fragmento
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\MainForm.Designer.cs,1092,43,T:System.Windows.Forms.Panel,,,,,ImageChooserPage
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\MainForm.Designer.cs,1091,52,T:System.Windows.Forms.OpenFileDialog,,,,,isoPickerOFD
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\MainForm.Designer.cs,1090,44,T:System.Windows.Forms.Label,,,,,lblExtractionStatus
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\MainForm.Designer.cs,1089,49,T:System.Windows.Forms.ProgressBar,,,,,isoExtractionPB
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\MainForm.Designer.cs,1088,45,T:System.Windows.Forms.TextBox,,,,,isoPathTB
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\MainForm.Designer.cs,1087,44,T:System.Windows.Forms.Button,,,,,isoPickerBtn
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\MainForm.Designer.cs,1086,44,T:System.Windows.Forms.Label,,,,,label1
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\MainForm.Designer.cs,1085,44,T:System.Windows.Forms.Label,,,,,lblDisclaimer
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\MainForm.Designer.cs,1084,44,T:System.Windows.Forms.Label,,,,,SysCheckPage_Header
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\MainForm.Designer.cs,1083,44,T:System.Windows.Forms.Label,,,,,SysCheckPage_Description
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\MainForm.Designer.cs,1082,44,T:System.Windows.Forms.Panel,,,,,IsoChooserPage
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\MainForm.Designer.cs,1081,44,T:System.Windows.Forms.Label,,,,,WelcomePage_Header
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\MainForm.Designer.cs,1080,44,T:System.Windows.Forms.Label,,,,,WelcomePage_Description
Api.0001,Binario incompatible para la versión de .NET seleccionada,Active,Mandatory,1,MicroWin\MicroWin.csproj,File,MicroWin\MainForm.Designer.cs,1079,44,T:System.Windows.Forms.Panel,,,,,WelcomePage
